stim,type,encoding_trials_block.thisRepN,encoding_trials_block.thisTrialN,encoding_trials_block.thisN,encoding_trials_block.thisIndex,rcg_block.thisRepN,rcg_block.thisTrialN,rcg_block.thisN,rcg_block.thisIndex,welcome_text.started,welcome_text.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,fixation.started,fixation.stopped,encoding_img.started,encoding_img.stopped,recognition_img.started,recognition_img.stopped,recognition_img_resp.keys,recognition_img_resp.rt,recognition_img_resp.started,recognition_img_resp.stopped,recognition_resp_prompt_main.started,recognition_resp_prompt_main.stopped,recognition_resp_prompt_options.started,recognition_resp_prompt_options.stopped,confidence_resp_prompt_main.started,confidence_resp_prompt_main.stopped,confidence_ratebar.started,confidence_ratebar.stopped,confidence_resp.keys,confidence_resp.rt,confidence_resp.started,confidence_resp.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,25.952544733998366,None,m,14.563020166009665,25.952544733998366,None,,,,,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/187a.jpg,,0,0,0,0,,,,,,,,,,,50.64100925892126,None,51.15008279692847,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/142a.jpg,,0,1,1,1,,,,,,,,,,,53.15122128499206,None,53.651108475984074,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/153a.jpg,,0,2,2,2,,,,,,,,,,,55.64219633792527,None,56.14295981393661,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/137a.jpg,,0,3,3,3,,,,,,,,,,,58.14301323599648,None,58.66003356594592,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/190a.jpg,,0,4,4,4,,,,,,,,,,,60.6439464869909,None,61.149984771967866,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/039a.jpg,,0,5,5,5,,,,,,,,,,,63.14459211099893,None,63.64354934496805,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/141a.jpg,,0,6,6,6,,,,,,,,,,,65.64550807594787,None,66.14459775493015,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/031a.jpg,,0,7,7,7,,,,,,,,,,,68.1454411019804,None,68.65007515402976,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/109a.jpg,,0,8,8,8,,,,,,,,,,,70.64639410097152,None,71.1463702400215,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/002a.jpg,,0,9,9,9,,,,,,,,,,,73.14686884498224,None,73.64611894299742,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/011a.jpg,,0,10,10,10,,,,,,,,,,,75.64690107898787,None,76.1480078829918,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/063a.jpg,,0,11,11,11,,,,,,,,,,,78.14812028594315,None,78.64781710295938,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/019a.jpg,,0,12,12,12,,,,,,,,,,,80.64886534097604,None,81.14841988298576,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/018a.jpg,,0,13,13,13,,,,,,,,,,,83.14926531794481,None,83.64866984297987,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/069a.jpg,,0,14,14,14,,,,,,,,,,,85.65079733496532,None,86.14920794696081,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/161a.jpg,,0,15,15,15,,,,,,,,,,,88.15018816594966,None,88.65058532496914,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/098a.jpg,,0,16,16,16,,,,,,,,,,,90.65166983893141,None,91.1512290489627,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/116a.jpg,,0,17,17,17,,,,,,,,,,,93.15205922094174,None,93.65155423793476,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/028a.jpg,,0,18,18,18,,,,,,,,,,,95.65292860893533,None,96.15215814800467,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/026a.jpg,,0,19,19,19,,,,,,,,,,,98.15221677196678,None,98.65245786402375,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/001a.jpg,,0,20,20,20,,,,,,,,,,,100.65418170497287,None,101.1541852139635,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/123a.jpg,,0,21,21,21,,,,,,,,,,,103.15367395500652,None,103.65413180203177,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/147a.jpg,,0,22,22,22,,,,,,,,,,,105.65544098499231,None,106.15474326594267,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/099a.jpg,,0,23,23,23,,,,,,,,,,,108.15515024599154,None,108.65508803201374,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/174a.jpg,,0,24,24,24,,,,,,,,,,,110.6560356169939,None,111.15586388099473,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/145a.jpg,,0,25,25,25,,,,,,,,,,,113.15704731096048,None,113.65685267397203,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/027a.jpg,,0,26,26,26,,,,,,,,,,,115.65813990402967,None,116.15707664494403,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/052a.jpg,,0,27,27,27,,,,,,,,,,,118.14170521101914,None,118.6419463059865,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/010a.jpg,,0,28,28,28,,,,,,,,,,,120.64264578802977,None,121.14249175798614,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/003a.jpg,,0,29,29,29,,,,,,,,,,,123.1428518689936,None,123.64213480299804,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/096a.jpg,,0,30,30,30,,,,,,,,,,,125.64441725995857,None,126.14318304497283,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/089a.jpg,,0,31,31,31,,,,,,,,,,,128.14396574895363,None,128.64448151900433,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/106a.jpg,,0,32,32,32,,,,,,,,,,,130.64454422495328,None,131.14527785300743,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/030a.jpg,,0,33,33,33,,,,,,,,,,,133.1454806709662,None,133.64517853793222,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/101a.jpg,,0,34,34,34,,,,,,,,,,,135.64675763598643,None,136.14602675801143,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/118a.jpg,,0,35,35,35,,,,,,,,,,,138.14681572502013,None,138.64628906396683,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/028a.jpg,,0,36,36,36,,,,,,,,,,,140.6467392599443,None,141.147564122919,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/117a.jpg,,0,37,37,37,,,,,,,,,,,143.1476321759401,None,143.64751277898904,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/168a.jpg,,0,38,38,38,,,,,,,,,,,145.64901102695148,None,146.14909914601594,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/111a.jpg,,0,39,39,39,,,,,,,,,,,148.14959254395217,None,148.6488692240091,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/047a.jpg,,0,40,40,40,,,,,,,,,,,150.65016528300475,None,151.1502489829436,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/142a.jpg,,0,41,41,41,,,,,,,,,,,153.15034316200763,None,153.650754073984,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/126a.jpg,,0,42,42,42,,,,,,,,,,,155.65077939699404,None,156.15165795595385,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/122a.jpg,,0,43,43,43,,,,,,,,,,,158.15195139998104,None,158.65131850296166,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/105a.jpg,,0,44,44,44,,,,,,,,,,,160.6530713189859,None,161.15277406200767,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/170a.jpg,,0,45,45,45,,,,,,,,,,,163.15318662999198,None,163.65332872793078,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/056a.jpg,,0,46,46,46,,,,,,,,,,,165.65328557498287,None,166.15348679898307,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/154a.jpg,,0,47,47,47,,,,,,,,,,,168.15485821291804,None,168.6544746919535,None,,,,,,,,,,,,,,,,,,,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/187a.jpg,targ,,,,,0,0,0,0,,,,,,,311.241336182924,None,,,311.7412514790194,None,h,7.627231137943454,311.7412514790194,None,311.7412514790194,None,311.7412514790194,None,319.3920746919466,None,319.3920746919466,None,h,3.9138264959910884,319.3920746919466,None,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/192a.jpg,foil,,,,,0,1,1,1,,,,,,,323.32676605600864,None,,,323.83660836098716,None,k,3.699137089890428,323.83660836098716,None,323.83660836098716,None,323.83660836098716,None,327.5614683839958,None,327.5614683839958,None,j,2.2917156419716775,327.5614683839958,None,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/028a.jpg,targ,,,,,0,2,2,2,,,,,,,329.8788313959958,None,,,330.379398577963,None,h,3.658518107025884,330.379398577963,None,330.379398577963,None,330.379398577963,None,334.0631338949315,None,334.0631338949315,None,h,1.5722693050047383,334.0631338949315,None,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/033a.jpg,foil,,,,,0,3,3,3,,,,,,,335.66428469098173,None,,,336.1701395829441,None,j,8.116056056926027,336.1701395829441,None,336.1701395829441,None,336.1701395829441,None,344.3159385919571,None,344.3159385919571,None,k,2.3776600399287418,344.3159385919571,None,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/052b.jpg,lure,,,,,0,4,4,4,,,,,,,346.71633167902473,None,,,347.21616709500086,None,h,3.6623076539253816,347.21616709500086,None,347.21616709500086,None,347.21616709500086,None,350.9010830349289,None,350.9010830349289,None,h,1.4623301849933341,350.9010830349289,None,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/063a.jpg,targ,,,,,0,5,5,5,,,,,,,352.3853526529856,None,,,352.88546517898794,None,h,3.1114438379881904,352.88546517898794,None,352.88546517898794,None,352.88546517898794,None,356.0180723059457,None,356.0180723059457,None,h,0.46260357403662056,356.0180723059457,None,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/093a.jpg,foil,,,,,0,6,6,6,,,,,,,356.5024563790066,None,,,357.01903798093554,None,k,3.1402809489518404,357.01903798093554,None,357.01903798093554,None,357.01903798093554,None,360.1855843809899,None,360.1855843809899,None,h,1.9761681510135531,360.1855843809899,None,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetC/142a.jpg,targ,,,,,0,7,7,7,,,,,,,362.18800672795624,None,,,362.68756692297757,None,h,3.5015017359983176,362.68756692297757,None,362.68756692297757,None,362.68756692297757,None,366.2053596409969,None,366.2053596409969,None,h,0.7711386330192909,366.2053596409969,None,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
SetD/137a.jpg,targ,,,,,0,8,8,8,,,,,,,367.0060314600123,None,,,367.5222252049716,None,h,3.8641356739681214,367.5222252049716,None,367.5222252049716,None,367.5222252049716,None,371.40673678193707,None,371.40673678193707,None,j,1.228271485073492,371.40673678193707,None,40023,2022_Aug_08_1348,mstfoil,2022.1.3,59.84332837422037,
,,,,,,,,,,,,,,,,372.6564071929315,None,,,,,,,,,,,,,,,,,,,,,,,,,,
