stim,type,encoding_trials_block.thisRepN,encoding_trials_block.thisTrialN,encoding_trials_block.thisN,encoding_trials_block.thisIndex,rcg_block.thisRepN,rcg_block.thisTrialN,rcg_block.thisN,rcg_block.thisIndex,welcome_text.started,welcome_text.stopped,welcome_resp.keys,welcome_resp.rt,welcome_resp.started,welcome_resp.stopped,fixation.started,fixation.stopped,encoding_img.started,encoding_img.stopped,recognition_img.started,recognition_img.stopped,recognition_img_resp.keys,recognition_img_resp.rt,recognition_img_resp.started,recognition_img_resp.stopped,recognition_resp_prompt_main.started,recognition_resp_prompt_main.stopped,recognition_resp_prompt_options.started,recognition_resp_prompt_options.stopped,confidence_resp_prompt_main.started,confidence_resp_prompt_main.stopped,confidence_ratebar.started,confidence_ratebar.stopped,confidence_resp.keys,confidence_resp.started,confidence_resp.stopped,confidence_resp.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,12.792821239003388,None,m,20.99280187900149,12.792821239003388,None,,,,,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/187a.jpg,,0,0,0,0,,,,,,,,,,,47.41632263400243,None,47.925844218996644,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/142a.jpg,,0,1,1,1,,,,,,,,,,,49.91815346200019,None,50.43422745999851,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/153a.jpg,,0,2,2,2,,,,,,,,,,,52.41769400500198,None,52.91801475900138,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/137a.jpg,,0,3,3,3,,,,,,,,,,,54.919474180998805,None,55.425114967998525,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/190a.jpg,,0,4,4,4,,,,,,,,,,,57.41897067300306,None,57.92543609900167,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/039a.jpg,,0,5,5,5,,,,,,,,,,,59.92100098499941,None,60.41974063299858,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/141a.jpg,,0,6,6,6,,,,,,,,,,,62.42089373899944,None,62.92485487499653,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/031a.jpg,,0,7,7,7,,,,,,,,,,,64.92175752000185,None,65.42497001899756,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/109a.jpg,,0,8,8,8,,,,,,,,,,,67.42212169800041,None,67.92282180100301,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/002a.jpg,,0,9,9,9,,,,,,,,,,,69.92268912000145,None,70.42317973999889,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/011a.jpg,,0,10,10,10,,,,,,,,,,,72.42314334600087,None,72.92328970399831,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/063a.jpg,,0,11,11,11,,,,,,,,,,,74.92444792800234,None,75.44100377900031,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/019a.jpg,,0,12,12,12,,,,,,,,,,,77.42374933599785,None,77.92432333200122,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/018a.jpg,,0,13,13,13,,,,,,,,,,,79.92597636800201,None,80.441124691999,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/069a.jpg,,0,14,14,14,,,,,,,,,,,82.42522577699856,None,82.9265363250015,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/161a.jpg,,0,15,15,15,,,,,,,,,,,84.92653175500163,None,85.44105938400025,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/098a.jpg,,0,16,16,16,,,,,,,,,,,87.42662310499873,None,87.94050719799998,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/116a.jpg,,0,17,17,17,,,,,,,,,,,89.92873529600183,None,90.42849182800273,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/028a.jpg,,0,18,18,18,,,,,,,,,,,92.4274840299986,None,92.92932611300057,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/026a.jpg,,0,19,19,19,,,,,,,,,,,94.92961089700111,None,95.42959153599804,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/001a.jpg,,0,20,20,20,,,,,,,,,,,97.42963839099684,None,97.9297185999967,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/123a.jpg,,0,21,21,21,,,,,,,,,,,99.931088602003,None,100.43050476299686,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/147a.jpg,,0,22,22,22,,,,,,,,,,,102.43059977400117,None,102.93151392699656,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/099a.jpg,,0,23,23,23,,,,,,,,,,,104.93212696199771,None,105.43977912500122,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/174a.jpg,,0,24,24,24,,,,,,,,,,,107.43174319699756,None,107.93274949800252,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/145a.jpg,,0,25,25,25,,,,,,,,,,,109.93379963700136,None,110.43354255199665,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/027a.jpg,,0,26,26,26,,,,,,,,,,,112.43355797699769,None,112.93427121199784,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/052a.jpg,,0,27,27,27,,,,,,,,,,,114.93499471499672,None,115.42206176699983,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/010a.jpg,,0,28,28,28,,,,,,,,,,,117.43431188799877,None,117.91871035600343,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/003a.jpg,,0,29,29,29,,,,,,,,,,,119.91979015299876,None,120.41926482500276,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/096a.jpg,,0,30,30,30,,,,,,,,,,,122.4222306369993,None,122.92279048499768,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/089a.jpg,,0,31,31,31,,,,,,,,,,,124.9201137400014,None,125.41957625200303,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/106a.jpg,,0,32,32,32,,,,,,,,,,,127.42082932899939,None,127.9210345629981,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/030a.jpg,,0,33,33,33,,,,,,,,,,,129.92229070699977,None,130.42200428700016,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/101a.jpg,,0,34,34,34,,,,,,,,,,,132.42150767699786,None,132.92158915400069,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/118a.jpg,,0,35,35,35,,,,,,,,,,,134.92254991299706,None,135.42284275300335,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/028a.jpg,,0,36,36,36,,,,,,,,,,,137.4238236020028,None,137.92377252200095,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/117a.jpg,,0,37,37,37,,,,,,,,,,,139.9242640989978,None,140.42387242100085,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/168a.jpg,,0,38,38,38,,,,,,,,,,,142.42420941100136,None,142.92472690399882,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/111a.jpg,,0,39,39,39,,,,,,,,,,,144.92582084400055,None,145.4251065060016,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/047a.jpg,,0,40,40,40,,,,,,,,,,,147.42533139300212,None,147.9260822540018,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/142a.jpg,,0,41,41,41,,,,,,,,,,,149.9267975870025,None,150.42620367200288,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/126a.jpg,,0,42,42,42,,,,,,,,,,,152.42685302899918,None,152.928285107002,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/122a.jpg,,0,43,43,43,,,,,,,,,,,154.92851813200105,None,155.42731480499788,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/105a.jpg,,0,44,44,44,,,,,,,,,,,157.42871912699775,None,157.92888729999686,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/170a.jpg,,0,45,45,45,,,,,,,,,,,159.9298146650035,None,160.42895701600355,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/056a.jpg,,0,46,46,46,,,,,,,,,,,162.42957236000075,None,162.92966680399695,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/154a.jpg,,0,47,47,47,,,,,,,,,,,164.93056893599714,None,165.43094794300123,None,,,,,,,,,,,,,,,,,,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/187a.jpg,targ,,,,,0,0,0,0,,,,,,,226.130032052999,None,,,226.6294562490002,None,k,18.704432718004682,226.6294562490002,None,226.6294562490002,None,226.6294562490002,None,245.3514473920004,None,245.3514473920004,None,None,245.3514473920004,None,,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/192a.jpg,foil,,,,,0,1,1,1,,,,,,,250.35292573300103,None,,,250.85265017300117,None,k,21.986215085002186,250.85265017300117,None,250.85265017300117,None,250.85265017300117,None,272.8589954499985,None,272.8589954499985,None,k,272.8589954499985,None,2.9497885599994333,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/028a.jpg,targ,,,,,0,2,2,2,,,,,,,275.8261972449982,None,,,276.34254485899874,None,h,3.3473468359952676,276.34254485899874,None,276.34254485899874,None,276.34254485899874,None,279.710747678997,None,279.710747678997,None,l,279.710747678997,None,2.00398806699377,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/033a.jpg,foil,,,,,0,3,3,3,,,,,,,281.7428018580031,None,,,282.2474244920013,None,j,4.113399351001135,282.2474244920013,None,282.2474244920013,None,282.2474244920013,None,286.3785707749994,None,286.3785707749994,None,k,286.3785707749994,None,2.4121606089975103,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/052b.jpg,lure,,,,,0,4,4,4,,,,,,,288.81223509900155,None,,,289.31244134699955,None,h,2.1781586470024195,289.31244134699955,None,289.31244134699955,None,289.31244134699955,None,291.51265139300085,None,291.51265139300085,None,l,291.51265139300085,None,1.2716546750016278,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/063a.jpg,targ,,,,,0,5,5,5,,,,,,,292.8141787830027,None,,,293.3135262549986,None,h,1.5744255120007438,293.3135262549986,None,293.3135262549986,None,293.3135262549986,None,294.9138597639976,None,294.9138597639976,None,l,294.9138597639976,None,1.6614932720040088,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/093a.jpg,foil,,,,,0,6,6,6,,,,,,,296.5967276739975,None,,,297.0962289969975,None,k,2.6514826210041065,297.0962289969975,None,297.0962289969975,None,297.0962289969975,None,299.7648242919968,None,299.7648242919968,None,j,299.7648242919968,None,1.704044240002986,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/142a.jpg,targ,,,,,0,7,7,7,,,,,,,301.4991211710003,None,,,301.9985829490033,None,j,2.2040013519945205,301.9985829490033,None,301.9985829490033,None,301.9985829490033,None,304.23383838299924,None,304.23383838299924,None,k,304.23383838299924,None,2.0948790549955447,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/137a.jpg,targ,,,,,0,8,8,8,,,,,,,306.3504240659968,None,,,306.8494714960034,None,k,3.9790646379988175,306.8494714960034,None,306.8494714960034,None,306.8494714960034,None,310.8518567249994,None,310.8518567249994,None,j,310.8518567249994,None,1.1353404530018452,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/174b.jpg,lure,,,,,0,9,9,9,,,,,,,312.0175679669992,None,,,312.51811595899926,None,h,2.5064123749980354,312.51811595899926,None,312.51811595899926,None,312.51811595899926,None,315.05246715500107,None,315.05246715500107,None,k,315.05246715500107,None,1.5244689339961042,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/153a.jpg,targ,,,,,0,10,10,10,,,,,,,316.6029818140014,None,,,317.11187712699757,None,j,1.7936923449960887,317.11187712699757,None,317.11187712699757,None,317.11187712699757,None,318.93724106899754,None,318.93724106899754,None,l,318.93724106899754,None,1.0370992809985182,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/007a.jpg,foil,,,,,0,11,11,11,,,,,,,320.0032108669984,None,,,320.50432926099893,None,k,1.4724259759968845,320.50432926099893,None,320.50432926099893,None,320.50432926099893,None,322.00351051799953,None,322.00351051799953,None,h,322.00351051799953,None,1.2331232049982646,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/001a.jpg,targ,,,,,0,12,12,12,,,,,,,323.25520021600096,None,,,323.76212774500164,None,j,3.783115653997811,323.76212774500164,None,323.76212774500164,None,323.76212774500164,None,327.5718603139976,None,327.5718603139976,None,j,327.5718603139976,None,3.9219895109999925,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/025a.jpg,foil,,,,,0,13,13,13,,,,,,,331.52272344200173,None,,,332.0276460649984,None,k,2.3010556860026554,332.0276460649984,None,332.0276460649984,None,332.0276460649984,None,334.3579115800021,None,334.3579115800021,None,k,334.3579115800021,None,1.028209380005137,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/190a.jpg,targ,,,,,0,14,14,14,,,,,,,335.4079603959981,None,,,335.9069443069966,None,h,1.245350541001244,335.9069443069966,None,335.9069443069966,None,335.9069443069966,None,337.1762756859971,None,337.1762756859971,None,j,337.1762756859971,None,1.3259467509997194,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/142b.jpg,lure,,,,,0,15,15,15,,,,,,,338.5250352369985,None,,,339.027673468001,None,j,1.5219827050023014,339.027673468001,None,339.027673468001,None,339.027673468001,None,340.5757281729966,None,340.5757281729966,None,l,340.5757281729966,None,1.1776510300041991,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/109a.jpg,targ,,,,,0,16,16,16,,,,,,,341.77544118199876,None,,,342.27543074900314,None,k,1.8177798589968006,342.27543074900314,None,342.27543074900314,None,342.27543074900314,None,344.1265657730037,None,344.1265657730037,None,j,344.1265657730037,None,0.7653391779967933,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/028b.jpg,lure,,,,,0,17,17,17,,,,,,,344.90960919600184,None,,,345.4270744070018,None,h,1.2085114380024606,345.4270744070018,None,345.4270744070018,None,345.4270744070018,None,346.6606257809981,None,346.6606257809981,None,j,346.6606257809981,None,1.246173159997852,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/003b.jpg,lure,,,,,0,18,18,18,,,,,,,347.92787421499816,None,,,348.44431259499834,None,h,1.8923725889981142,348.44431259499834,None,348.44431259499834,None,348.44431259499834,None,350.3606828120028,None,350.3606828120028,None,k,350.3606828120028,None,0.9209592180050095,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/098a.jpg,targ,,,,,0,19,19,19,,,,,,,351.3104761029972,None,,,351.82760175599833,None,k,1.838895811997645,351.82760175599833,None,351.82760175599833,None,351.82760175599833,None,353.69607433799683,None,353.69607433799683,None,l,353.69607433799683,None,0.746696891997999,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/027b.jpg,lure,,,,,0,20,20,20,,,,,,,354.46236295499693,None,,,354.96249456900114,None,j,1.3026514099983615,354.96249456900114,None,354.96249456900114,None,354.96249456900114,None,356.29548886200064,None,356.29548886200064,None,k,356.29548886200064,None,1.432148091000272,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/011a.jpg,targ,,,,,0,21,21,21,,,,,,,357.74657790199853,None,,,358.2607289410007,None,h,1.1880525730011868,358.2607289410007,None,358.2607289410007,None,358.2607289410007,None,359.4808955249973,None,359.4808955249973,None,j,359.4808955249973,None,0.6878939379967051,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetC/019a.jpg,targ,,,,,0,22,22,22,,,,,,,360.19789537799807,None,,,360.6977862260028,None,h,1.1358657150049112,360.6977862260028,None,360.6977862260028,None,360.6977862260028,None,361.8644855500024,None,361.8644855500024,None,j,361.8644855500024,None,0.8241482110024663,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/147a.jpg,targ,,,,,0,23,23,23,,,,,,,362.71452603399666,None,,,363.2155251000004,None,j,1.3742656989998068,363.2155251000004,None,363.2155251000004,None,363.2155251000004,None,364.61562447399774,None,364.61562447399774,None,l,364.61562447399774,None,0.5928967220024788,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
SetD/154b.jpg,lure,,,,,0,24,24,24,,,,,,,365.23184243300057,None,,,365.7425246690036,None,j,1.5021336849968066,365.7425246690036,None,365.7425246690036,None,365.7425246690036,None,367.276555258999,None,367.276555258999,None,k,367.276555258999,None,0.6656346140007372,40023,2022_Jul_13_1556,mstfoil,2022.1.3,60.174211079947014,
